;=== Measured signals to be read - MASTU diagnostics ===
B_XL1_N09 MC  bmc     145  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N09   - ; (T)
B_XL1_P10 MC  bmc     146  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P10   - ; (T) Removed, 11/15/22
B_XL1_N11 MC  bmc     147  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N11   - ; (T) Removed, 11/15/22
B_XL1_P12 MC  bmc     148  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P12   - ; (T)
B_XL1_N13 MC  bmc     149  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N13   - ; (T)
B_XL1_P14 MC  bmc     150  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P14   - ; (T)
B_XL1_N15 MC  bmc     151  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N15   - ; (T)
B_XL1_P16 MC  bmc     152  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P16   - ; (T)
B_XL1_N17 MC  bmc     153  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N17   - ; (T)
B_XL1_P18 MC  bmc     154  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P18   - ; (T)
B_XL1_P19 MC  bmc     155  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P19   - ; (T) Removed, 11/15/22
B_XL1_N20 MC  bmc     156  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N20   - ; (T)
B_XL1_P21 MC  bmc     157  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P21   - ; (T)
B_XL1_N22 MC  bmc     158  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N22   - ; (T)
B_XL1_P23 MC  bmc     159  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P23   - ; (T)
B_XL1_N24 MC  bmc     160  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N24   - ; (T)
B_XL1_N25 MC  bmc     161  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N25   - ; (T)
B_XL1_P26 MC  bmc     162  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P26   - ; (T)
B_XL1_N27 MC  bmc     163  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N27   - ; (T)
B_XL1_P28 MC  bmc     164  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P28   - ; (T)
B_XL1_N29 MC  bmc     165  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N29   - ; (T)
B_XL1_P30 MC  bmc     166  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P30   - ; (T)
B_XL1_N31 MC  bmc     167  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N31   - ; (T)
B_XL1_P32 MC  bmc     168  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P32   - ; (T)
B_XL1_N33 MC  bmc     169  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N33   - ; (T)
B_XL1_P34 MC  bmc     170  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P34   - ; (T)
B_XL1_N35 MC  bmc     171  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_N35   - ; (T)
B_XL1_P36 MC  bmc     172  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL1_P36   - ; (T)
B_XL2_N01 MC  bmc     173  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N01   - ; (T)
B_XL2_P02 MC  bmc     174  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P02   - ; (T) 
B_XL2_N03 MC  bmc     175  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N03   - ; (T)
B_XL2_P04 MC  bmc     176  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P04   - ; (T) 
B_XL2_N05 MC  bmc     177  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N05   - ; (T) 
B_XL2_P06 MC  bmc     178  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P06   - ; (T)
B_XL2_N07 MC  bmc     179  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N07   - ; (T) 
B_XL2_P08 MC  bmc     180  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P08   - ; (T) Removed, 11/15/22 
B_XL2_N09 MC  bmc     181  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N09   - ; (T)
B_XL2_P10 MC  bmc     182  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P10   - ; (T)
B_XL2_N11 MC  bmc     183  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N11   - ; (T) Removed, 11/15/22 
B_XL2_P12 MC  bmc     184  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P12   - ; (T) Removed, 11/15/22
B_XL2_N13 MC  bmc     185  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N13   - ; (T) 
B_XL2_P14 MC  bmc     186  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P14   - ; (T)
B_XL2_N15 MC  bmc     187  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N15   - ; (T) Removed, 11/15/22
B_XL2_P16 MC  bmc     188  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P16   - ; (T)
B_XL2_N17 MC  bmc     189  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N17   - ; (T)
B_XL2_P18 MC  bmc     190  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P18   - ; (T)
B_XL2_P19 MC  bmc     191  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P19   - ; (T)
B_XL2_N20 MC  bmc     192  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N20   - ; (T)
B_XL2_P21 MC  bmc     193  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P21   - ; (T)
B_XL2_N22 MC  bmc     194  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N22   - ; (T) 
B_XL2_P23 MC  bmc     195  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P23   - ; (T)
B_XL2_N24 MC  bmc     196  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N24   - ; (T)
B_XL2_N25 MC  bmc     197  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N25   - ; (T)
B_XL2_P26 MC  bmc     198  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P26   - ; (T)
B_XL2_N27 MC  bmc     199  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N27   - ; (T)
B_XL2_P28 MC  bmc     200  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P28   - ; (T)
B_XL2_N29 MC  bmc     201  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N29   - ; (T)
B_XL2_P30 MC  bmc     202  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P30   - ; (T)
B_XL2_N31 MC  bmc     203  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N31   - ; (T)
B_XL2_P32 MC  bmc     204  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P32   - ; (T)
B_XL2_N33 MC  bmc     205  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N33   - ; (T) Removed, 11/15/22 
B_XL2_P34 MC  bmc     206  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P34   - ; (T) Removed, 11/15/22
B_XL2_N35 MC  bmc     207  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_N35   - ; (T) Removed, 11/15/22
B_XL2_P36 MC  bmc     208  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_XL2_P36   - ; (T) 
B_NU1_P01 MC  bmc     209  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P01   - ; (T)
B_NU1_N02 MC  bmc     210  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_N02   - ; (T)
B_NU1_P03 MC  bmc     211  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P03   - ; (T)
B_NU1_N04 MC  bmc     212  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_N04   - ; (T)
B_NU1_P05 MC  bmc     213  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P05   - ; (T)
B_NU1_N06 MC  bmc     214  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_N06   - ; (T)
B_NU1_P07 MC  bmc     215  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P07   - ; (T)
B_NU1_N08 MC  bmc     216  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_N08   - ; (T)
B_NU1_P09 MC  bmc     217  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P09   - ; (T)
B_NU1_N10 MC  bmc     218  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_N10   - ; (T)
B_NU1_P11 MC  bmc     219  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU1_P11   - ; (T)
B_NU2_P01 MC  bmc     220  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P01   - ; (T)
B_NU2_N02 MC  bmc     221  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_N02   - ; (T)
B_NU2_P03 MC  bmc     222  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P03   - ; (T)
B_NU2_N04 MC  bmc     223  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_N04   - ; (T)
B_NU2_P05 MC  bmc     224  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P05   - ; (T)
B_NU2_N06 MC  bmc     225  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_N06   - ; (T)
B_NU2_P07 MC  bmc     226  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P07   - ; (T)
B_NU2_N08 MC  bmc     227  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_N08   - ; (T)
B_NU2_P09 MC  bmc     228  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P09   - ; (T)
B_NU2_N10 MC  bmc     229  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_N10   - ; (T)
B_NU2_P11 MC  bmc     230  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NU2_P11   - ; (T)
B_NL1_P01 MC  bmc     231  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P01   - ; (T)
B_NL1_N02 MC  bmc     232  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_N02   - ; (T)
B_NL1_P03 MC  bmc     233  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P03   - ; (T)
B_NL1_N04 MC  bmc     234  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_N04   - ; (T)
B_NL1_P05 MC  bmc     235  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P05   - ; (T)
B_NL1_N06 MC  bmc     236  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_N06   - ; (T)
B_NL1_P07 MC  bmc     237  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P07   - ; (T)
B_NL1_N08 MC  bmc     238  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_N08   - ; (T)
B_NL1_P09 MC  bmc     239  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P09   - ; (T)
B_NL1_N10 MC  bmc     240  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_N10   - ; (T)
B_NL1_P11 MC  bmc     241  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL1_P11   - ; (T)
B_NL2_P01 MC  bmc     242  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P01   - ; (T)
B_NL2_N02 MC  bmc     243  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_N02   - ; (T)
B_NL2_P03 MC  bmc     244  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P03   - ; (T)
B_NL2_N04 MC  bmc     245  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_N04   - ; (T)
B_NL2_P05 MC  bmc     246  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P05   - ; (T)
B_NL2_N06 MC  bmc     247  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_N06   - ; (T)
B_NL2_P07 MC  bmc     248  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P07   - ; (T)
B_NL2_N08 MC  bmc     249  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_N08   - ; (T)
B_NL2_P09 MC  bmc     250  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P09   - ; (T)
B_NL2_N10 MC  bmc     251  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_N10   - ; (T)
B_NL2_P11 MC  bmc     252  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_NL2_P11   - ; (T)
B_BU1_P01 MC  bmc     253  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P01   - ; (T)
B_BU1_N02 MC  bmc     254  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_N02   - ; (T)
B_BU1_P03 MC  bmc     255  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P03   - ; (T)
B_BU1_N04 MC  bmc     256  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_N04   - ; (T)
B_BU1_P05 MC  bmc     257  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P05   - ; (T)
B_BU1_N06 MC  bmc     258  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_N06   - ; (T) 
B_BU1_P07 MC  bmc     259  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P07   - ; (T)
B_BU1_N08 MC  bmc     260  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_N08   - ; (T)
B_BU1_P09 MC  bmc     261  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P09   - ; (T)
B_BU1_N10 MC  bmc     262  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_N10   - ; (T)
B_BU1_P11 MC  bmc     263  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU1_P11   - ; (T)
B_BU2_P01 MC  bmc     264  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P01   - ; (T)
B_BU2_N02 MC  bmc     265  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_N02   - ; (T)
B_BU2_P03 MC  bmc     266  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P03   - ; (T)
B_BU2_N04 MC  bmc     267  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_N04   - ; (T)
B_BU2_P05 MC  bmc     268  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P05   - ; (T)
B_BU2_N06 MC  bmc     269  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_N06   - ; (T)
B_BU2_P07 MC  bmc     270  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P07   - ; (T)
B_BU2_N08 MC  bmc     271  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_N08   - ; (T)
B_BU2_P09 MC  bmc     272  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P09   - ; (T)
B_BU2_N10 MC  bmc     273  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_N10   - ; (T) Removed, 11/15/22
B_BU2_P11 MC  bmc     274  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BU2_P11   - ; (T)
B_BL1_P01 MC  bmc     275  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P01   - ; (T)
B_BL1_N02 MC  bmc     276  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_N02   - ; (T)
B_BL1_P03 MC  bmc     277  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P03   - ; (T)
B_BL1_N04 MC  bmc     278  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_N04   - ; (T) Removed, 11/15/22
B_BL1_P05 MC  bmc     279  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P05   - ; (T)
B_BL1_N06 MC  bmc     280  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_N06   - ; (T)
B_BL1_P07 MC  bmc     281  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P07   - ; (T)
B_BL1_N08 MC  bmc     282  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_N08   - ; (T)
B_BL1_P09 MC  bmc     283  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P09   - ; (T)
B_BL1_N10 MC  bmc     284  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_N10   - ; (T)
B_BL1_P11 MC  bmc     285  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL1_P11   - ; (T)
B_BL2_P01 MC  bmc     286  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P01   - ; (T)
B_BL2_N02 MC  bmc     287  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_N02   - ; (T)
B_BL2_P03 MC  bmc     288  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P03   - ; (T)
B_BL2_N04 MC  bmc     289  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_N04   - ; (T)
B_BL2_P05 MC  bmc     290  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P05   - ; (T)
B_BL2_N06 MC  bmc     291  -  y  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_N06   - ; (T)
B_BL2_P07 MC  bmc     292  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P07   - ; (T) 
B_BL2_N08 MC  bmc     293  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_N08   - ; (T) 
B_BL2_P09 MC  bmc     294  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P09   - ; (T)
B_BL2_N10 MC  bmc     295  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_N10   - ; (T) Removed, 11/15/22
B_BL2_P11 MC  bmc     296  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_BL2_P11   - ; (T)
B_O1_P01  MC  bmc     297  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_O1_P01    - ; (T)
B_O1_N02  MC  bmc     298  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_O1_N02    - ; (T) 
B_O1_P03  MC  bmc     299  -  n  0.040  1.0e-3   1.0e-3   y  1.0        1.0 1.0  1  2.1e-3   AMB/PICKUP/B_O1_P03    - ; (T)
